"ID_MGN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_recoleccion","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
47250,3,0,2,4,1,1,100,100,100,0.577777777777778,2.26666666666667,0.488888888888889,0.0666666666666667,1
47251,1,0,2,4,1,3,100,100,100,0.616161616161616,1.05555555555556,0.161616161616162,0.0303030303030303,1
47252,1,0,2,4,1,0,86.268032209008,86.485919736114,94.0033444054856,0.407407407407407,1.55555555555556,0.296296296296296,0.037037037037037,1
47253,1,0,2,4,1,0,100,100,100,0.836734693877551,1.61224489795918,0.224489795918367,0.0408163265306122,1
47254,3,0,2,4,1,0,50,75,100,1.07407407407407,1.66666666666667,0.222222222222222,0.111111111111111,1
47255,3,0,2,4,1,1,50,75,100,1.08695652173913,1.78260869565217,0.260869565217391,0.217391304347826,1
47256,3,1,2,23,1,2,100,70,95,5.58823529411765,4.05882352941176,0.529411764705882,0.529411764705882,1
47257,3,0,2,23,1,6,92.6829268292683,87.8048780487805,97.5609756097561,1.37179487179487,2.1025641025641,0.307692307692308,0.128205128205128,1
47258,3,0,2,23,1,3,90.9090909090909,93.1818181818182,97.7272727272727,0.940298507462687,1.59701492537313,0.26865671641791,0.149253731343284,1
47259,3,0,2,4,1,5,96.1538461538462,90.3846153846154,98.0769230769231,0.700680272108844,1.1156462585034,0.238095238095238,0.17687074829932,1
47260,3,0,1,4,1,0,100,75,100,1,6.33333333333333,1,0.333333333333333,2
47261,3,0,1,4,1,1,100,83.3333333333333,100,1,2,0.241379310344828,0.0344827586206897,2
47262,3,0,3,4,1,0,100,100,100,0.891304347826087,1.89130434782609,0.173913043478261,0.0652173913043478,1
47263,2,0,2,4,1,1,100,100,100,0.810344827586207,1.96551724137931,0.172413793103448,0.0517241379310345,1
47264,2,1,2,4,1,4,95,95,100,0.53448275862069,1.24712643678161,0.17816091954023,0.0517241379310345,1
47265,2,0,2,0,1,0,86.268032209008,86.485919736114,94.0033444054856,0.933333333333333,1.63333333333333,0.2,0.0333333333333333,1
47266,3,0,2,0,1,2,100,100,100,0.770491803278688,1.68852459016393,0.213114754098361,0.0819672131147541,1
47267,3,0,3,3,1,3,80,84,96,0.771929824561403,1.56140350877193,0.192982456140351,0.105263157894737,1
47268,3,1,3,4,1,10,84.4444444444444,80,97.7777777777778,0.791208791208791,1.21978021978022,0.120879120879121,0.153846153846154,3
47269,3,1,3,4,1,6,70.9677419354839,70.9677419354839,96.7741935483871,0.948051948051948,0.922077922077922,0.116883116883117,0.0909090909090909,3
47270,3,0,2,4,1,4,73.3333333333333,80,93.3333333333333,0.559322033898305,0.847457627118644,0.152542372881356,0.186440677966102,1
47271,3,1,3,4,1,9,86.3636363636364,81.8181818181818,100,1.76,1.73,0.39,0.3,3
47272,3,0,2,4,1,6,97.2222222222222,80.5555555555556,100,0.0555555555555556,2.30555555555556,0.263888888888889,0.208333333333333,1
47273,3,0,1,4,1,0,100,100,100,1.85714285714286,5.71428571428571,0.285714285714286,1.14285714285714,2
47274,3,0,1,4,1,0,96.1538461538462,88.4615384615385,100,1.57142857142857,3.25,0.214285714285714,0.357142857142857,2
47275,3,0,2,23,1,5,95.8333333333333,79.1666666666667,97.9166666666667,1.24731182795699,1.83870967741935,0.236559139784946,0.247311827956989,1
47276,3,1,3,4,1,4,77.2727272727273,81.8181818181818,95.4545454545455,0.441176470588235,0.507352941176471,0.0808823529411765,0.0441176470588235,3
47277,3,0,2,4,1,0,100,94.1176470588235,100,0.428571428571429,2,0.571428571428571,0.285714285714286,1
47278,3,0,1,4,1,1,100,100,100,2,3.33333333333333,0.266666666666667,0.266666666666667,2
47279,3,0,1,0,1,2,96,88,100,1.35294117647059,3.58823529411765,0.117647058823529,0.352941176470588,2
47280,3,0,1,4,1,0,93.75,81.25,100,1.8,3.6,0.6,0.2,2
