"ID_MGN","Saneamiento_Sinconexiones","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
40344,10,3,0,2,3,0,100,100,100,0.319444444444444,0.180555555555556,1,0.277777777777778,0.0972222222222222,1
40345,0,3,0,1,3,0,100,100,100,0.8125,0.8125,1.4375,0.25,0.0625,1
40346,0,3,0,1,3,1,100,100,100,1.33333333333333,1.33333333333333,7.66666666666667,2.66666666666667,0.666666666666667,1
40347,1,3,0,1,4,0,100,100,100,1.16666666666667,1,2,0.833333333333333,0,1
40348,2,3,0,1,4,2,50,66.6666666666667,50,0.633333333333333,0.6,0.866666666666667,0.233333333333333,0.05,1
40349,6,3,0,1,4,2,66.6666666666667,66.6666666666667,66.6666666666667,0.657894736842105,0.5,1.31578947368421,0.236842105263158,0.105263157894737,1
40350,65,3,1,3,4,12,89.0052356020942,92.6701570680628,91.0994764397906,0.240963855421687,0.169769989047097,0.335158817086528,0.327491785323111,0.100766703176342,3
40351,0,2,0,3,4,0,80,93.3333333333333,93.3333333333333,0.620689655172414,0.620689655172414,0.689655172413793,0.275862068965517,0.0574712643678161,1
40352,2,3,0,3,4,2,90.1960784313726,88.2352941176471,92.156862745098,0.126436781609195,0.103448275862069,0.413793103448276,0.896551724137931,0.0804597701149425,1
40353,1,2,0,2,4,0,85.7142857142857,71.4285714285714,85.7142857142857,0.551724137931034,0.517241379310345,0.0689655172413793,0.379310344827586,0.0344827586206897,1
40354,0,2,0,1,4,1,83.3333333333333,66.6666666666667,83.3333333333333,0.696969696969697,0.696969696969697,0,0.272727272727273,0,1
40355,1,2,0,2,4,0,90.2439024390244,90.2439024390244,90.2439024390244,0.630434782608696,0.608695652173913,0.0217391304347826,0.260869565217391,0.108695652173913,1
40356,0,2,0,2,3,1,83.3333333333333,100,91.6666666666667,0.54,0.54,0.04,0.18,0.04,1
40357,1,3,0,2,4,0,87.5,75,100,0.5,0,0,8.5,1,1
40358,2,3,0,1,0,1,96.1538461538462,100,88.4615384615385,0.666666666666667,0.622222222222222,1.04444444444444,0.177777777777778,0.0666666666666667,2
40359,1,3,0,1,0,0,94.7368421052632,100,89.4736842105263,0.75,0.722222222222222,1.66666666666667,0.25,0.0833333333333333,2
40360,2,2,0,2,0,0,81.9044873063313,91.0130610644602,82.8406469895976,1,0.909090909090909,2.04545454545455,0.409090909090909,0.0909090909090909,2
40361,1,2,0,3,0,3,81.9044873063313,91.0130610644602,82.8406469895976,0.603448275862069,0.586206896551724,1.44827586206897,0.344827586206897,0.0689655172413793,2
40362,0,2,0,3,0,0,81.9044873063313,91.0130610644602,82.8406469895976,0.674418604651163,0.674418604651163,1.46511627906977,0.209302325581395,0.0465116279069767,2
