"ID_MGN","Movilidad_RVN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_noValorizables","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
46345,0,3,0,2,4,1,1,85.7142857142857,85.7142857142857,100,0.666666666666667,0.642857142857143,1.19047619047619,0.30952380952381,0.0476190476190476,1
46346,0,3,0,2,0,1,1,80,80,100,0.756410256410256,0.756410256410256,1.56410256410256,0.115384615384615,0.0384615384615385,1
46348,0,3,0,2,4,1,2,50,100,100,0.715789473684211,0.0105263157894737,0.873684210526316,0.189473684210526,0.0210526315789474,1
46349,0,3,0,2,4,1,4,89.4736842105263,94.7368421052632,100,0.382838283828383,0.0825082508250825,1.06600660066007,0.250825082508251,0.0429042904290429,1
46350,0,3,0,2,4,1,1,100,100,100,0.63013698630137,0.479452054794521,1.08219178082192,0.219178082191781,0.0273972602739726,1
46351,0,3,0,0,0,1,0,100,100,100,0.633333333333333,0.133333333333333,0.833333333333333,0.166666666666667,0.0333333333333333,1
46352,0,3,0,0,4,1,0,100,100,100,0.838709677419355,0.258064516129032,1.41935483870968,0.354838709677419,0.0645161290322581,1
46353,0,3,0,2,4,1,1,100,100,100,0.5,0,0.973684210526316,0.236842105263158,0.0526315789473684,1
46354,0,3,0,2,0,1,0,100,100,100,0.689655172413793,0,1.75862068965517,0.310344827586207,0.0689655172413793,1
46355,0,3,0,2,4,1,1,95.2578097608821,91.2189208163899,98.3623185325594,0.44,0,1.44,0.28,0.04,1
46356,0,3,0,2,3,1,1,50,100,100,0.756756756756757,0.756756756756757,1.51351351351351,0.135135135135135,0.027027027027027,1
46357,0,3,0,2,4,1,1,66.6666666666667,83.3333333333333,100,0.476470588235294,0.476470588235294,1.08235294117647,0.147058823529412,0.0294117647058824,1
46358,0,1,0,2,3,1,0,100,100,100,0.740740740740741,0.740740740740741,1.44444444444444,0.185185185185185,0.037037037037037,1
