"Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_Valorizables","Residuos_noValorizables","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific"
3,0,2,3,0,1,0,100,100,100,1.09677419354839,0,1.06451612903226,1.06451612903226,0
3,0,2,4,0,1,2,100,100,100,0.448979591836735,0,0.938775510204082,0.938775510204082,0.0408163265306122
3,0,1,0,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,2,2,2.44444444444444,2.44444444444444,0
3,0,1,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,1.16666666666667,1.06666666666667,1.96666666666667,1.96666666666667,0.0666666666666667
3,0,2,4,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.888888888888889,0.888888888888889,1.81481481481481,1.81481481481481,0.037037037037037
3,0,2,0,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,2.21428571428571,2.07142857142857,2.92857142857143,2.92857142857143,0.142857142857143
3,0,1,0,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.821428571428571,0.75,1.60714285714286,1.60714285714286,0.0714285714285714
3,0,1,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,1.53333333333333,1.4,1.86666666666667,1.86666666666667,0.133333333333333
3,0,0,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.0909090909090909,0,1.81818181818182,1.81818181818182,0.0909090909090909
3,0,2,4,0,1,3,90.4139306971725,94.1993862767545,90.9256440514256,0.706422018348624,0,1.21100917431193,1.21100917431193,0.036697247706422
3,0,1,3,0,1,1,100,100,100,1.09090909090909,0,3.90909090909091,3.90909090909091,0.0909090909090909
3,0,1,4,0,1,0,50,100,50,0.484848484848485,0,1.66666666666667,1.66666666666667,0
3,0,1,4,1,1,0,50,100,50,0.0857142857142857,0,1.08571428571429,1.08571428571429,0.0285714285714286
3,0,1,4,0,1,0,50,100,50,0.615384615384615,0,1.23076923076923,1.23076923076923,0.0256410256410256
3,0,1,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.956521739130435,0,2.39130434782609,2.39130434782609,0.0869565217391304
3,0,2,4,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.9,0.357142857142857,1.51428571428571,1.51428571428571,0.0142857142857143
3,0,1,0,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.8,0.8,6.6,6.6,0.4
3,0,1,0,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.0588235294117647,0,1.38235294117647,1.38235294117647,0.0294117647058824
3,0,2,0,0,1,0,100,100,100,0.384615384615385,0.0384615384615385,1.5,1.5,0.0384615384615385
3,0,2,4,0,1,2,100,100,100,0.886075949367089,0.594936708860759,0.974683544303797,0.974683544303797,0.0379746835443038
3,0,0,4,0,1,1,100,100,100,1.22222222222222,1.05555555555556,2.94444444444444,2.94444444444444,0.111111111111111
3,0,0,3,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,1.8125,1.8125,2.125,2.125,0.0625
3,0,2,4,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.888888888888889,0,1.28571428571429,1.28571428571429,0.0634920634920635
3,0,0,4,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.5625,0,1.125,1.125,0.09375
3,0,0,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.78125,0,1.5625,1.5625,0.0625
3,1,2,4,1,1,3,50,100,50,1.31182795698925,0,1.43010752688172,1.43010752688172,0.0483870967741935
3,0,2,4,1,1,1,100,100,100,1.29545454545455,0.75,1.11363636363636,1.11363636363636,0.0681818181818182
3,0,1,0,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,1.21875,1.125,1.96875,1.96875,0.09375
2,0,1,0,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,1.125,1.0625,2.125,2.125,0.09375
2,0,1,0,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,1.125,1.125,2.3125,2.3125,0.0625
2,0,1,0,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.8,0.733333333333333,1.76666666666667,1.76666666666667,0.0333333333333333
2,0,1,0,0,1,0,100,100,100,0.75,0.71875,1.65625,1.65625,0.0625
2,0,1,4,0,1,3,50,100,100,1,0.926470588235294,1.45588235294118,1.45588235294118,0.0441176470588235
3,0,1,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.814814814814815,0,1.25925925925926,1.25925925925926,0.037037037037037
3,0,1,3,0,1,2,90.4139306971725,94.1993862767545,90.9256440514256,0.142857142857143,0,1.62857142857143,1.62857142857143,0.0857142857142857
3,0,2,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.617647058823529,0,1.52941176470588,1.52941176470588,0.0588235294117647
2,1,2,4,0,1,0,90.4139306971725,94.1993862767545,90.9256440514256,0.458333333333333,0,1.02083333333333,1.02083333333333,0.0625
2,1,3,4,0,0,0,90.4139306971725,94.1993862767545,90.9256440514256,0.208333333333333,0,0.416666666666667,0.416666666666667,0.0416666666666667
3,0,1,4,0,1,0,77.7777777777778,88.8888888888889,100,0.608695652173913,0,1.1304347826087,1.1304347826087,0.0289855072463768
3,0,1,4,0,1,2,80,100,100,0.666666666666667,0,2.51851851851852,2.51851851851852,0.037037037037037
3,0,2,4,0,1,0,87.5,100,100,0.557692307692308,0,1.19230769230769,1.19230769230769,0.0576923076923077
3,0,2,4,0,1,2,83.3333333333333,100,100,0.727272727272727,0,1.47272727272727,1.47272727272727,0.0363636363636364
3,0,2,4,1,1,1,87.5,87.5,100,0.74468085106383,0.0212765957446809,1.21276595744681,1.21276595744681,0.0425531914893617
3,0,2,4,0,1,1,85.7142857142857,85.7142857142857,100,0.607142857142857,0,1.375,1.375,0.0178571428571429
