"ID_MGN","inundaciones","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_noValorizables","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
11874,1,3,0,0,3,1,1,100,100,100,0.565217391304348,0,1.19565217391304,0.195652173913043,0.0543478260869565,2
11875,1,3,0,1,4,1,4,77.7777777777778,77.7777777777778,88.8888888888889,0.506172839506173,0,0.839506172839506,0.164609053497942,0.037037037037037,2
11876,1,3,0,1,3,1,1,100,100,100,0.716417910447761,0,1.50746268656716,0.253731343283582,0.0298507462686567,2
11877,1,3,0,1,3,1,0,100,100,100,0.6625,0,1.2625,0.25,0.0375,2
11878,0,3,0,1,4,1,3,66.6666666666667,83.3333333333333,100,0.975609756097561,0,2,0.268292682926829,0.0853658536585366,1
11879,1,3,0,1,4,1,3,100,100,100,0.784,0,1.432,0.176,0.032,2
11880,1,3,0,1,4,1,3,100,100,100,0.713513513513514,0,0.718918918918919,0.178378378378378,0.0594594594594595,2
11881,1,3,0,1,3,1,1,100,100,100,0.76,0,1.4,0.22,0.06,2
11882,1,3,0,1,4,1,3,100,100,100,0.88,0,2.06666666666667,0.266666666666667,0.0533333333333333,2
11883,1,3,0,1,4,1,1,100,100,100,0.706896551724138,0,1.53448275862069,0.258620689655172,0.0517241379310345,2
11884,0,3,0,1,4,1,2,85.7142857142857,85.7142857142857,100,0.789473684210526,0,1.33333333333333,0.131578947368421,0.0614035087719298,1
11885,1,3,0,0,4,1,0,100,100,100,0.866666666666667,0,1.36666666666667,0.266666666666667,0.1,2
11886,1,3,0,0,4,1,0,82.2686487719647,84.743934697425,87.8672228878967,0.5625,0,1.9375,0.375,0.0625,2
11887,1,3,0,0,4,1,4,87.5,87.5,87.5,0.424242424242424,0,1.12121212121212,0.484848484848485,0.151515151515152,2
11888,1,3,0,0,3,1,4,98.0392156862745,92.156862745098,98.0392156862745,0.848484848484849,0.121212121212121,1.09090909090909,0.409090909090909,0.166666666666667,2
11889,1,3,0,1,4,1,8,88.5714285714286,88.5714285714286,100,0.558510638297872,0.0691489361702128,0.670212765957447,0.196808510638298,0.0531914893617021,2
11890,1,3,0,3,4,1,3,82.2686487719647,84.743934697425,87.8672228878967,0.696808510638298,0.00531914893617021,1.14893617021277,0.26063829787234,0.0425531914893617,2
11891,0,3,0,1,4,1,1,82.2686487719647,84.743934697425,87.8672228878967,0.797297297297297,0,1.47297297297297,0.216216216216216,0.0810810810810811,1
11892,0,3,0,1,4,1,1,82.2686487719647,84.743934697425,87.8672228878967,0.829268292682927,0,1.5609756097561,0.170731707317073,0.0487804878048781,1
11893,1,3,0,3,4,1,2,82.2686487719647,84.743934697425,87.8672228878967,0.871428571428571,0,1.84285714285714,0.271428571428571,0.128571428571429,2
11894,0,3,0,1,4,1,3,71.4285714285714,71.4285714285714,100,0.776923076923077,0,1.41538461538462,0.169230769230769,0.0615384615384615,1
11895,0,3,0,0,4,1,1,60,60,100,0.829268292682927,0,1.07317073170732,0.170731707317073,0.0487804878048781,1
11896,1,3,0,0,4,1,0,82.7586206896552,65.5172413793103,100,0.611111111111111,0,2.5,0.666666666666667,0.0555555555555556,2
11897,1,3,0,1,4,1,2,93.1034482758621,80.1724137931034,96.551724137931,0.84,0.386666666666667,1.21333333333333,0.36,0.173333333333333,2
11898,0,3,0,1,3,1,2,94.4444444444444,100,100,0.666666666666667,0.151515151515152,1.90909090909091,0.333333333333333,0.0606060606060606,1
11899,0,2,0,1,3,1,1,94.7368421052632,100,100,0.708333333333333,0.208333333333333,1.47916666666667,0.270833333333333,0.0208333333333333,1
11900,1,3,0,1,4,1,2,94.1176470588235,100,100,0.657534246575342,0.164383561643836,1.08219178082192,0.246575342465753,0.0410958904109589,2
11901,1,2,0,1,4,1,1,100,100,87.5,0.95,0.075,1.65,0.325,0.075,2
11902,1,3,0,1,4,1,5,100,100,71.4285714285714,0.567901234567901,0.0679012345679012,0.91358024691358,0.283950617283951,0.0555555555555556,2
11903,1,3,0,1,3,1,0,80,100,80,0.729166666666667,0.104166666666667,1.08333333333333,0.229166666666667,0.0625,2
11904,1,3,0,1,4,1,0,75,100,75,0.852941176470588,0,1.64705882352941,0.323529411764706,0.0882352941176471,2
11905,1,3,0,1,4,1,2,66.6666666666667,100,66.6666666666667,0.5,0,1.56521739130435,0.347826086956522,0.0434782608695652,2
11906,1,2,0,1,4,1,0,82.2686487719647,84.743934697425,87.8672228878967,0.588235294117647,0,1.17647058823529,0.411764705882353,0,2
11907,0,2,0,1,4,1,0,82.2686487719647,84.743934697425,87.8672228878967,0.590909090909091,0,1.63636363636364,0.272727272727273,0.0454545454545455,1
11908,1,3,0,3,4,1,5,100,100,100,0.753164556962025,0,1.17088607594937,0.240506329113924,0.0506329113924051,2
11909,1,3,0,1,4,1,0,82.2686487719647,84.743934697425,87.8672228878967,0.608695652173913,0,1.69565217391304,0.173913043478261,0.0434782608695652,2
11910,1,3,0,1,4,1,3,82.2686487719647,84.743934697425,87.8672228878967,0.896551724137931,0,1.82758620689655,0.172413793103448,0.0689655172413793,2
11911,1,3,0,1,4,1,0,83.3333333333333,66.6666666666667,100,0.753086419753086,0,1.14814814814815,0.172839506172839,0.0493827160493827,2
11912,1,3,0,1,4,1,5,86.2068965517241,72.4137931034483,96.551724137931,0.804123711340206,0,1.02061855670103,0.195876288659794,0.0721649484536082,2
11913,0,3,0,0,4,1,1,75,75,100,2.4,0,8.8,1.4,0.8,1
11914,1,3,0,1,4,1,4,92.5,76.25,100,0.785714285714286,0,1.5952380952381,0.380952380952381,0.166666666666667,2
11915,1,3,0,0,4,1,0,84.2105263157895,71.0526315789474,100,0.88,0.04,1.16,0.28,0.08,2
11916,1,3,0,0,4,1,2,91.358024691358,77.7777777777778,97.5308641975309,1.46428571428571,0.285714285714286,1.78571428571429,0.285714285714286,0.25,2
11917,1,3,0,1,3,1,4,100,100,95.4545454545455,1.91549295774648,0.661971830985915,0.887323943661972,0.47887323943662,0.0704225352112676,2
11918,1,3,0,0,0,1,0,100,100,100,0.333333333333333,0.111111111111111,4.33333333333333,0.666666666666667,0.111111111111111,2
11919,1,3,0,1,3,1,1,100,100,100,4.92307692307692,1.57692307692308,1.23076923076923,0.461538461538462,0.0384615384615385,2
11920,1,3,0,0,4,1,2,88.2352941176471,76.4705882352941,100,0.0882352941176471,0,1.38235294117647,0.176470588235294,0.0588235294117647,2
11921,1,3,0,0,4,1,0,80,100,100,0.214285714285714,0,2.07142857142857,0.571428571428571,0.142857142857143,2
11922,1,2,0,1,4,1,0,82.2686487719647,84.743934697425,87.8672228878967,1,0,2.1,0.7,0.2,2
11923,0,2,0,1,4,1,0,82.2686487719647,84.743934697425,87.8672228878967,0.764705882352941,0,1.64705882352941,0.294117647058824,0.117647058823529,1
11924,0,3,0,3,4,1,2,100,100,100,0.787878787878788,0,1.6969696969697,0.484848484848485,0.0909090909090909,1
11925,1,3,2,3,4,1,1,100,100,100,0.514705882352941,0,0.676470588235294,0.176470588235294,0.0294117647058824,3
11927,0,3,0,1,5,1,3,85.7142857142857,100,100,0.700680272108844,0,0.108843537414966,0.17687074829932,0.0340136054421769,1
11928,0,3,0,1,5,1,1,75,100,100,0.65,0,0.3,0.316666666666667,0.133333333333333,1
11929,0,3,0,0,4,1,2,87.5,100,100,1.09756097560976,0,0,0.268292682926829,0.0487804878048781,1
11930,0,3,0,0,0,1,0,66.6666666666667,100,100,0.15,0,0,0.35,0.1,1
11931,0,3,0,0,4,1,4,75,100,100,1.11538461538462,0,0.0128205128205128,0.192307692307692,0.0384615384615385,1
11932,0,3,0,1,4,1,2,80,100,100,0.596491228070175,0,0.0526315789473684,0.228070175438596,0.12280701754386,1
11933,1,2,0,1,3,1,1,82.2686487719647,84.743934697425,87.8672228878967,0.814814814814815,0,0.592592592592593,0.333333333333333,0.0740740740740741,2
