"ID_MGN","inundaciones","RVN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Electricidad_medidoresIntel_edific","Electricidad_postes_edific","Electricidad_transform_edific","cluster"
26964,1,0,1,0,2,0,1,0,50,50,100,1.09090909090909,1.09090909090909,0.181818181818182,1
26636,0,1,3,0,1,4,1,1,88.5714285714286,74.2857142857143,88.5714285714286,3,0.363636363636364,0.409090909090909,2
26637,0,1,3,0,2,5,1,3,84.4444444444444,80,91.1111111111111,1.93181818181818,0.386363636363636,0.181818181818182,2
26639,0,0,3,0,1,4,1,1,100,75,100,2.61538461538462,0.846153846153846,0.0769230769230769,2
26640,0,0,3,0,1,4,1,1,94.1176470588235,76.4705882352941,97.0588235294118,3.44444444444444,1.16666666666667,0.166666666666667,2
26642,0,1,3,0,0,4,1,1,91.4893617021277,76.5957446808511,95.7446808510638,3,0.269230769230769,0.192307692307692,2
26644,0,1,3,0,0,4,1,0,81.9672131147541,77.0491803278689,85.2459016393443,6.5,1,0.25,2
26645,0,1,3,0,1,4,1,2,79.3650793650794,73.015873015873,84.1269841269841,2.81081081081081,0.243243243243243,0.108108108108108,2
26646,0,0,3,0,1,4,1,0,72.4137931034483,70.6896551724138,74.1379310344828,2.75,0.5,0.166666666666667,2
26648,0,0,3,0,2,5,1,2,85.7142857142857,71.4285714285714,85.7142857142857,1.32727272727273,0.254545454545455,0.0636363636363636,2
26649,0,0,3,0,1,0,1,1,100,80,100,2.56521739130435,0.304347826086957,0.130434782608696,2
26651,0,0,2,0,1,4,1,1,100,88.2352941176471,100,1.70909090909091,0.254545454545455,0.0363636363636364,2
26653,0,2,3,0,0,4,1,1,78.125,73.4375,82.8125,3.37931034482759,0.344827586206897,0.172413793103448,2
26654,0,4,3,0,0,4,1,1,59.3220338983051,54.2372881355932,64.4067796610169,5.88235294117647,0.588235294117647,0.411764705882353,2
26656,0,1,3,0,0,4,1,3,82.7586206896552,82.7586206896552,89.6551724137931,3.55555555555556,0.37037037037037,0.222222222222222,2
26657,0,1,3,0,0,4,1,1,76.9230769230769,76.9230769230769,80.7692307692308,4.06666666666667,0.466666666666667,0.166666666666667,2
26658,0,0,3,0,0,4,1,0,72.1311475409836,72.1311475409836,75.4098360655738,6.83333333333333,5,0.5,2
26662,0,1,3,0,1,4,1,1,90.9090909090909,79.5454545454545,95.4545454545455,1.65909090909091,0.477272727272727,0.0909090909090909,2
26665,0,0,2,0,1,4,1,2,100,100,100,1.67441860465116,0.162790697674419,0.0697674418604651,2
26667,0,0,3,0,2,4,1,0,100,100,100,1.8125,0.5625,0.3125,2
26673,0,0,2,0,1,4,1,2,100,92.3076923076923,100,1.33962264150943,0.245283018867925,0.0754716981132075,2
26674,0,0,2,0,1,4,1,1,100,100,100,1.71698113207547,0.207547169811321,0.0566037735849057,2
26681,0,1,2,0,1,4,1,1,92.8571428571429,71.4285714285714,92.8571428571429,1.82608695652174,0.347826086956522,0.130434782608696,2
26682,0,1,2,0,1,4,1,1,90.9090909090909,72.7272727272727,90.9090909090909,1.61538461538462,0.384615384615385,0.153846153846154,2
26683,0,1,2,0,1,4,1,0,100,100,100,3,1,0.5,2
26684,0,1,2,0,1,4,1,2,100,100,100,2.77777777777778,0.444444444444444,0.111111111111111,2
26695,0,0,2,0,1,0,1,1,100,33.3333333333333,100,2.25925925925926,0.259259259259259,0.0740740740740741,2
26702,0,1,3,0,1,4,1,4,95.6521739130435,78.2608695652174,100,0.796296296296296,0.296296296296296,0.111111111111111,2
26706,0,0,3,0,1,4,1,0,100,50,100,1.03389830508475,0.152542372881356,0.0677966101694915,2
26711,0,0,3,0,1,4,1,1,100,100,100,1.04444444444444,0.222222222222222,0.0444444444444444,2
26712,0,0,3,0,2,4,1,1,100,100,100,3,0.5,0.142857142857143,2
26714,0,0,2,0,1,4,1,1,66.6666666666667,66.6666666666667,66.6666666666667,1.57142857142857,0.285714285714286,0,2
26718,0,1,3,0,1,4,1,2,88.4615384615385,80.7692307692308,92.3076923076923,1.54545454545455,0.431818181818182,0.0681818181818182,2
26719,0,1,2,0,1,4,1,1,85,90,90,2.33333333333333,0.6,0.533333333333333,2
26721,0,0,3,0,1,4,1,0,50,50,50,4,1.2,0,2
26728,0,1,1,1,2,4,1,3,100,100,100,1.46341463414634,0.170731707317073,0.0487804878048781,2
26729,0,1,3,0,2,4,1,1,92.3076923076923,84.6153846153846,96.1538461538462,3,0.733333333333333,0.266666666666667,2
26730,0,1,3,0,2,4,1,1,86.8421052631579,76.3157894736842,92.1052631578947,2.41860465116279,0.348837209302326,0.116279069767442,2
26733,0,1,3,0,0,4,1,1,88,76,94,4.64705882352941,0.470588235294118,0.470588235294118,2
26734,0,1,3,0,1,4,1,1,86.046511627907,81.3953488372093,90.6976744186046,1.85294117647059,0.470588235294118,0.0882352941176471,2
26738,0,3,3,1,2,4,1,5,53.8461538461538,48.7179487179487,57.6923076923077,1.19672131147541,0.270491803278689,0.131147540983607,2
26739,0,4,3,0,0,0,1,1,47.6190476190476,46.031746031746,49.2063492063492,2,0.666666666666667,0,2
26740,0,3,3,0,2,4,1,2,46.875,45.3125,50,0.918367346938776,0.469387755102041,0.224489795918367,2
26741,0,1,3,0,1,4,1,2,46.8085106382979,48.936170212766,53.1914893617021,1.42105263157895,0.263157894736842,0.140350877192982,2
26743,0,0,2,0,2,3,1,1,33.3333333333333,66.6666666666667,66.6666666666667,1.10975609756098,0.146341463414634,0.0365853658536585,2
26744,0,0,3,0,2,3,1,0,33.3333333333333,66.6666666666667,33.3333333333333,1.61538461538462,0.292307692307692,0.0769230769230769,2
26749,0,0,3,0,1,4,1,1,50,50,60,1.72222222222222,0.555555555555556,0.111111111111111,2
26750,0,0,3,0,2,4,1,1,33.3333333333333,66.6666666666667,66.6666666666667,1.67567567567568,0.189189189189189,0.027027027027027,2
26751,0,1,3,0,2,4,1,3,77.7777777777778,66.6666666666667,88.8888888888889,0.98,0.16,0.05,2
26752,0,1,3,0,2,4,1,3,90.9090909090909,72.7272727272727,100,0.942857142857143,0.148571428571429,0.04,2
26754,0,0,3,0,2,3,1,2,100,100,50,1.10344827586207,0.172413793103448,0.0517241379310345,2
26758,0,0,2,0,2,4,1,0,100,100,100,1.31707317073171,0.170731707317073,0.0487804878048781,2
26760,0,0,2,0,3,4,1,2,50,50,50,1.15686274509804,0.156862745098039,0.0588235294117647,2
26761,0,0,2,1,3,4,1,0,57.1428571428571,57.1428571428571,85.7142857142857,1.07971014492754,0.152173913043478,0.0144927536231884,2
26762,0,1,2,1,3,4,1,1,80,80,90,0.779527559055118,0.149606299212598,0.015748031496063,2
26763,0,1,2,1,3,4,1,3,81.8181818181818,63.6363636363636,100,0.828828828828829,0.135135135135135,0.018018018018018,2
26764,0,1,2,1,2,4,1,1,100,57.1428571428571,100,1.07407407407407,0.166666666666667,0.037037037037037,2
26765,0,1,1,1,2,4,1,2,100,60,100,0.818840579710145,0.123188405797101,0,2
26766,0,1,3,0,1,4,1,1,71.4285714285714,85.7142857142857,85.7142857142857,1.21739130434783,0.217391304347826,0.0434782608695652,2
26767,0,0,2,0,1,4,1,0,63.6363636363636,81.8181818181818,81.8181818181818,1.28,0.22,0.06,2
26768,0,0,2,0,1,4,1,1,71.7944035380472,71.8090403980719,83.2519719187894,0.9375,0.291666666666667,0.0833333333333333,2
26769,0,1,3,0,2,4,1,5,78.9473684210526,89.4736842105263,89.4736842105263,2.05555555555556,0.259259259259259,0.0740740740740741,2
26770,0,1,3,0,2,4,1,1,71.4285714285714,85.7142857142857,85.7142857142857,1.82857142857143,0.285714285714286,0.0857142857142857,2
26771,0,1,3,0,1,4,1,2,68.4210526315789,84.2105263157895,84.2105263157895,1.40816326530612,0.204081632653061,0.0816326530612245,2
26773,0,0,3,0,2,3,1,2,58.8235294117647,76.4705882352941,76.4705882352941,1.2,0.305882352941176,0.0705882352941176,2
26774,0,1,3,1,3,4,1,4,92.6829268292683,82.9268292682927,97.5609756097561,1.33333333333333,0.284722222222222,0.0902777777777778,2
26777,0,1,3,0,1,4,1,0,73.3333333333333,86.6666666666667,86.6666666666667,10,3.5,1.33333333333333,2
26779,0,1,3,0,2,4,1,2,70.4918032786885,72.1311475409836,77.0491803278689,1.72131147540984,0.295081967213115,0.0491803278688525,2
26780,0,0,3,0,1,4,1,1,64.8648648648649,67.5675675675676,67.5675675675676,1.3,0.366666666666667,0.0333333333333333,2
26781,0,1,3,0,1,4,1,1,62.962962962963,74.0740740740741,70.3703703703704,2.86666666666667,0.333333333333333,0.233333333333333,2
26785,0,0,3,1,2,4,1,1,100,66.6666666666667,100,0.637362637362637,0.131868131868132,0.021978021978022,2
26786,0,0,3,0,2,4,1,1,71.7944035380472,71.8090403980719,83.2519719187894,1.17241379310345,0.206896551724138,0.0344827586206897,2
26788,0,0,3,0,2,4,1,0,50,50,100,1.40816326530612,0.306122448979592,0.0816326530612245,2
26789,0,0,3,0,3,4,1,2,71.7944035380472,71.8090403980719,83.2519719187894,1.29473684210526,0.136842105263158,0.0421052631578947,2
26790,0,0,3,1,3,4,1,3,81.8181818181818,72.7272727272727,90.9090909090909,0.950819672131147,0.229508196721311,0.10655737704918,2
26797,0,0,3,0,3,4,1,1,71.7944035380472,71.8090403980719,83.2519719187894,1.63636363636364,0.151515151515152,0,2
26798,0,0,3,0,2,4,1,2,71.7944035380472,71.8090403980719,83.2519719187894,1.42857142857143,0.171428571428571,0,2
26799,0,0,3,0,3,4,1,0,71.7944035380472,71.8090403980719,83.2519719187894,1.95238095238095,0.285714285714286,0,2
26800,0,1,3,1,3,4,1,0,84.6153846153846,76.9230769230769,84.6153846153846,0.966101694915254,0.288135593220339,0.0847457627118644,2
26801,0,1,2,2,3,4,1,7,85.7142857142857,64.2857142857143,85.7142857142857,0.784565916398714,0.209003215434084,0.0160771704180064,2
26802,0,0,1,1,3,4,1,0,70,80,80,0.789473684210526,0.368421052631579,0.0921052631578947,2
26803,0,0,2,1,3,4,1,0,90.9090909090909,72.7272727272727,100,1.17741935483871,0.661290322580645,0.0806451612903226,2
26805,0,1,3,2,3,4,1,2,80,100,100,0.387755102040816,0.63265306122449,0.0612244897959184,2
26806,0,1,3,1,3,4,1,1,83.3333333333333,83.3333333333333,100,0.952380952380952,0.253968253968254,0,2
26809,0,1,2,1,2,4,1,1,100,100,100,2,0.647058823529412,0,2
26811,0,1,2,1,3,4,1,2,100,61.5384615384615,100,1.06382978723404,0.180851063829787,0,2
26812,0,1,3,0,3,4,1,7,84.2105263157895,68.4210526315789,84.2105263157895,1.16201117318436,0.150837988826816,0.0223463687150838,2
26813,0,0,3,0,2,4,1,2,87.5,75,87.5,1.52,0.2,0.04,2
26815,0,0,3,0,0,4,1,1,50,50,50,1.72,0.24,0.08,2
26816,0,1,3,0,1,4,1,2,70,73.3333333333333,83.3333333333333,1.84,0.3,0.04,2
26818,0,0,3,0,1,4,1,2,100,100,100,1.21495327102804,0.168224299065421,0.0467289719626168,2
26820,0,1,3,0,1,4,1,1,80,100,100,0.901639344262295,0.163934426229508,0,2
26821,0,1,3,0,1,4,1,2,80,80,100,1.16483516483516,0.142857142857143,0,2
26822,0,1,3,0,2,4,1,3,100,75,100,1.23,0.13,0,2
26823,0,1,3,1,3,4,1,1,100,78.2608695652174,100,0.924731182795699,0.225806451612903,0,2
26824,0,1,3,0,2,4,1,2,66.6666666666667,100,100,0.699421965317919,0.144508670520231,0,2
26825,0,0,2,0,2,4,1,2,100,100,100,1.390625,0.1875,0,2
26828,0,0,3,0,2,4,1,1,66.6666666666667,100,66.6666666666667,1.03636363636364,0.309090909090909,0,2
26830,0,0,3,0,3,4,1,3,83.3333333333333,100,83.3333333333333,1.24390243902439,0.304878048780488,0,2
26831,0,0,2,0,2,4,1,1,100,100,100,1.18333333333333,0.183333333333333,0,2
26832,0,0,2,0,2,4,1,1,100,100,100,1.33333333333333,0.277777777777778,0,2
26833,0,0,3,0,2,4,1,4,100,100,100,1.0241935483871,0.161290322580645,0,2
26834,0,0,3,0,2,4,1,3,71.7944035380472,71.8090403980719,83.2519719187894,1.07920792079208,0.237623762376238,0,2
26841,0,0,2,1,1,0,1,1,100,100,100,3,0.666666666666667,0,2
26843,0,0,2,0,1,4,1,1,100,100,100,1.27777777777778,0.333333333333333,0,2
26846,0,0,2,0,2,4,1,1,100,100,100,1.13888888888889,0.194444444444444,0,2
26849,0,0,3,1,2,4,1,1,63.6363636363636,72.7272727272727,81.8181818181818,1.38095238095238,0.326530612244898,0,2
26851,0,1,3,0,2,5,1,1,75,85,95,0.846153846153846,0.5,0,2
26852,0,1,3,0,2,4,1,2,84,88,96,0.966101694915254,0.372881355932203,0.0169491525423729,2
26853,0,1,3,0,3,4,1,1,76.9230769230769,80.7692307692308,84.6153846153846,1.13888888888889,0.416666666666667,0,2
26854,0,1,3,0,3,4,1,2,57.1428571428571,71.4285714285714,57.1428571428571,1.05357142857143,0.25,0,2
26855,0,1,3,0,3,4,1,2,81.25,62.5,81.25,0.96875,0.1875,0,2
26857,0,0,1,0,2,4,1,1,33.3333333333333,100,100,1.62162162162162,0.189189189189189,0,2
26863,0,0,2,0,1,0,1,1,50,100,100,2.22222222222222,0.277777777777778,0,2
26864,0,0,3,0,2,4,1,2,100,100,100,1.97560975609756,0.219512195121951,0,2
26865,0,0,3,0,1,4,1,1,100,100,100,1.32203389830508,0.186440677966102,0,2
26869,0,0,3,0,2,3,1,1,71.7944035380472,71.8090403980719,83.2519719187894,1.31428571428571,0.214285714285714,0,2
26870,0,0,3,0,1,3,1,1,71.7944035380472,71.8090403980719,83.2519719187894,1.38235294117647,0.191176470588235,0,2
26872,0,0,3,0,1,3,1,1,100,100,100,3.4,0.85,0,2
