"Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","conexiones_agua_edific","postes_edific","transformadores_edific"
0,1,2,4,1,0,100,100,100,0.833333333333333,15.8333333333333,1.5
2,2,3,4,1,4,100,100,100,0.729281767955801,1.90055248618785,0.292817679558011
3,2,3,4,1,1,100,100,100,0.553191489361702,3.36170212765957,0.74468085106383
3,2,3,4,1,3,94.9918173474551,83.4212430839292,95.9547579574305,0.762886597938144,2.02577319587629,0.345360824742268
3,0,2,4,1,0,100,100,100,0.866666666666667,1.86666666666667,0.511111111111111
3,0,3,4,1,5,100,85.948905109489,100,0.49618320610687,2.37404580152672,0.519083969465649
2,0,1,0,1,0,100,100,100,0.615384615384615,3.15384615384615,0.307692307692308
3,0,1,4,1,2,100,42.8571428571429,100,0.638888888888889,2.66666666666667,0.555555555555556
3,0,1,4,1,1,100,100,100,0.607142857142857,2.42857142857143,0.464285714285714
3,0,1,4,1,0,94.9918173474551,83.4212430839292,95.9547579574305,0.538461538461538,5.07692307692308,1.07692307692308
3,0,1,4,1,0,94.9918173474551,83.4212430839292,95.9547579574305,1,2.96153846153846,0.807692307692308
2,0,2,4,1,0,94.9918173474551,83.4212430839292,95.9547579574305,0.526315789473684,2.31578947368421,1.10526315789474
2,0,2,0,1,0,94.9918173474551,83.4212430839292,95.9547579574305,0.785714285714286,3.78571428571429,1.64285714285714
2,0,2,3,1,1,94.9918173474551,83.4212430839292,95.9547579574305,0.619047619047619,2.5952380952381,0.380952380952381
3,2,3,4,1,3,100,66.9902912621359,100,0.73134328358209,2.36567164179104,0.529850746268657
2,2,3,3,1,5,94.9918173474551,83.4212430839292,95.9547579574305,0.507246376811594,1.95652173913043,0.217391304347826
3,2,3,4,1,5,100,100,100,0.414414414414414,1.75675675675676,0.405405405405405
3,0,3,4,1,3,100,28,100,0.715846994535519,2.67213114754098,0.628415300546448
2,0,3,4,1,3,100,62.5,100,0.819148936170213,2.26595744680851,0.340425531914894
2,0,3,4,1,3,100,68.2352941176471,100,0.825396825396825,1.93650793650794,0.507936507936508
2,0,2,4,1,0,100,70,100,0.9,2.68,0.62
3,0,3,4,1,5,100,73.5294117647059,100,0.708029197080292,3.25547445255474,0.948905109489051
3,0,2,4,1,3,100,87.8411910669975,100,0.682692307692308,1.68269230769231,0.375
3,0,1,4,1,3,100,84.2401500938086,100,0.711111111111111,2.25555555555556,0.488888888888889
3,0,1,4,1,2,100,72.2772277227723,100,0.758620689655172,3.48275862068966,1.17241379310345
3,0,1,4,1,2,100,60.625,100,0.75,3.16666666666667,1.10416666666667
